year,October,November,December,January,February,March,April,May,June,July,August,September
2017,46184,47211,43251,31576,18754,12195,11127,14519,16087,18187,22288,22537
2016,32724,32838,37014,23758,26072,33316,38089,40337,34450,33723,37048,39501
2015,26450,24641,25019,21514,24376,29791,29750,31576,29303,28388,30239,30286
2014,35312,31896,29528,28668,36403,49596,51502,60683,57862,40708,31388,25825
2013,28929,27636,23243,26921,35042,47293,48212,43856,34436,33230,33797,31802
2012,25612,23368,18983,25714,31579,42218,40628,36966,30669,26978,27567,26591
2011,26165,22405,19429,23926,28786,42014,36251,31236,27166,23170,24166,22863
2010,40890,32815,25034,34784,42790,61361,55237,47045,32955,25609,26415,22796
2009,42938,32780,25947,44502,49211,67342,58493,50884,46044,43843,43522,35359
2008,51339,42209,31802,59028,73483,89770,91566,69233,53854,49472,48541,44708
2007,60713,51594,40527,71934,79268,114137,104465,88504,71338,66782,59795,49581
2006,83557,70975,52673,101195,125046,160696,126538,105450,68366,59641,59751,58084
2005,75913,65135,48406,93020,113775,143048,140062,115823,90786,94954,96733,93741
2004,65391,57894,43614,92521,110669,154981,135468,118726,94590,92165,93246,80017
2003,61792,47731,37824,86925,96869,98399,75359,88690,75530,79284,84486,72176
2002,37812,32506,31501,79793,95724,126992,121921,97424,78655,76661,82557,68263
2001,82632,67709,55081,125090,152229,170580,142813,122927,89131,83602,84648,59276
2000,91410,76196,71252,185979,211328,220063,180050,166296,115093,113956,114312,97744
